Cluster3Words,13PW1,13PW2,13PW3,13PW4,13PW5,13PW6,13PW7,13PW8,13PW9,13PW10,13W1,13W2,13W3,13W4,13W5,13W6,13W7,13W8,13W9,13W10,Magnitude ,Words,EntropyScore
"T27: key, secur, scheme",0.042556073,0.030679197,0.020145735,0.01764287,0.014711204,0.01446768,0.013717819,0.010045438,0.009085736,0.008585577,key,secur,scheme,classic,technolog,protocol,qkd,techniqu,network,optic,0.195247424,"classic(0.073), key(0.073), qkd(0.067), protocol(0.065), secur(0.063), technolog(0.063), techniqu(0.054), optic(0.052), network(0.052), scheme(0.050)",2.457838261
"T28: key, classic, secur",0.109272,0.088583178,0.062114198,0.055557702,0.043629627,0.03119527,0.029638337,0.02858668,0.023379205,0.021031516,key,classic,secur,protocol,technolog,scheme,optic,qkd,system,channel,0.560818353,"protocol(0.247), key(0.202), technolog(0.199), classic(0.196), secur(0.171), qkd(0.161), optic(0.151), scheme(0.147), system(0.137), channel(0.130)",4.340175527
"T29: optic, technolog, system",0.081002533,0.070423621,0.061101157,0.059266549,0.045915101,0.042681744,0.039134843,0.038980702,0.038153248,0.036752674,optic,technolog,system,develop,communic,challeng,measur,key,channel,high,0.647998607,"develop(0.264), high(0.228), channel(0.224), key(0.221), communic(0.210), challeng(0.203), measur(0.200), system(0.168), technolog(0.154), optic(0.147)",4.617668918
"T30: technolog, develop, optic",0.016073877,0.007828022,0.006523071,0.003437182,0.002915672,0.002286164,0.002137187,0.001604395,0.001425045,0.001412693,technolog,develop,optic,photon,system,studi,key,applic,achiev,model,0.031632328,"technolog(0.021), develop(0.011), optic(0.011), photon(0.008), system(0.007), model(0.007), achiev(0.006), key(0.006), studi(0.006), applic(0.006)",0.593048217
"T31: technolog, optic, develop",0.109397518,0.070374501,0.042443422,0.036672068,0.034185828,0.032695062,0.02946701,0.029062094,0.028821652,0.028618193,technolog,optic,develop,photon,system,measur,communic,key,network,challeng,0.510054246,"technolog(0.202), challeng(0.177), network(0.169), key(0.164), photon(0.161), system(0.155), optic(0.154), measur(0.154), communic(0.150), develop(0.114)",4.208281444
"T32: key, qkd, protocol",0.289521119,0.279240299,0.215632646,0.157042573,0.115538322,0.092613071,0.078976171,0.076562046,0.071481157,0.061399411,key,qkd,protocol,secur,photon,entangl,rate,measur,channel,classic,1.660646926,"secur(0.713), qkd(0.632), protocol(0.612), key(0.551), photon(0.538), entangl(0.447), measur(0.437), channel(0.422), rate(0.410), classic(0.383)",4.779400385
"T33: qkd, key, protocol",0.22127709,0.186380138,0.104275507,0.096190308,0.063523316,0.058458971,0.055934131,0.052516636,0.05144705,0.049245689,qkd,key,protocol,secur,photon,channel,measur,distribut,entangl,scheme,1.070912582,"secur(0.434), key(0.419), qkd(0.419), scheme(0.307), entangl(0.303), distribut(0.299), photon(0.293), protocol(0.292), measur(0.289), channel(0.280)",5.209015913
"T34: key, qkd, protocol",0.147727278,0.127943095,0.090009964,0.068450376,0.038891287,0.037936632,0.035328871,0.034403078,0.033841443,0.033130543,key,qkd,protocol,secur,optic,entangl,photon,channel,rate,system,0.728288889,"secur(0.306), qkd(0.286), key(0.276), protocol(0.251), system(0.206), rate(0.199), channel(0.194), photon(0.180), entangl(0.180), optic(0.177)",4.776895952
"T35: channel, entangl, show",0.017920569,0.010309095,0.005099375,0.002535302,0.00242825,0.001853053,0.001169722,0.000624907,0.00037278,0.000319573,channel,entangl,show,protocol,techniqu,applic,result,network,communic,provid,0.031676674,"channel(0.025), entangl(0.017), show(0.006), techniqu(0.005), protocol(0.004), applic(0.004), result(0.001), , , ",0.388525159
"T36: qkd, entangl, protocol",0.064562291,0.053692518,0.038528432,0.026418376,0.025311539,0.022468338,0.020590674,0.020308325,0.019835701,0.019149389,qkd,entangl,protocol,photon,measur,state,key,channel,technolog,secur,0.352818363,"secur(0.118), entangl(0.116), technolog(0.116), qkd(0.115), photon(0.114), channel(0.113), measur(0.113), state(0.104), key(0.103), protocol(0.103)",3.525732081
"T37: channel, qkd, key",0.006109259,0.004882253,0.003640661,0.002567696,0.002386776,0.001699425,0.001631906,0.001417088,0.00111514,0.001002244,channel,qkd,key,photon,classic,model,protocol,studi,state,final,0.012136828,"classic(0.005), studi(0.005), qkd(0.004), state(0.004), final(0.004), photon(0.004), protocol(0.004), model(0.003), key(0.002), channel(0.002)",0.298878493
"T38: entangl, qkd, key",0.073040218,0.045411754,0.042679442,0.031266336,0.022812442,0.017123955,0.01583473,0.015689239,0.014719298,0.010913471,entangl,qkd,key,photon,scheme,protocol,classic,network,state,rate,0.316088411,"photon(0.136), entangl(0.132), key(0.115), scheme(0.101), qkd(0.097), network(0.087), state(0.085), protocol(0.078), classic(0.078), rate(0.066)",3.238085282
"T39: qkd, protocol, key",0.181355596,0.151101107,0.127360605,0.103392818,0.086796219,0.08104894,0.065823716,0.056625787,0.055759905,0.042727585,qkd,protocol,key,entangl,photon,secur,channel,state,measur,scheme,1.135890645,"entangl(0.467), photon(0.402), secur(0.390), key(0.358), qkd(0.341), channel(0.341), protocol(0.339), measur(0.329), state(0.322), scheme(0.266)",5.251673594
