Cluster3Words,10PW1,10PW2,10PW3,10PW4,10PW5,10PW6,10PW7,10PW8,10PW9,10PW10,10W1,10W2,10W3,10W4,10W5,10W6,10W7,10W8,10W9,10W10,Magnitude - Initial Q-Values,Words,EntropyScore
"T11: model, high, function",0.054595202,0.024542965,0.024398871,0.021903467,0.019094883,0.018547875,0.018072629,0.016322785,0.012669947,0.011838845,model,high,function,comput,state,base,applic,process,effici,design,0.318955709,"applic(0.113), base(0.110), comput(0.108), function(0.105), state(0.103), process(0.102), model(0.099), design(0.096), high(0.088), effici(0.080)",3.323371096
"T12: model, base, effici",0.029899931,0.016723262,0.013375937,0.01144873,0.009263092,0.007125302,0.006147838,0.004762314,0.004688351,0.00459168,model,base,effici,applic,process,high,comput,integr,perform,system,0.144365819,"base(0.059), effici(0.056), applic(0.055), model(0.049), process(0.049), high(0.042), comput(0.038), system(0.037), perform(0.030), integr(0.030)",1.981617393
"T13: model, process, high",0.061145389,0.035399789,0.035068038,0.031680113,0.028100407,0.025659022,0.022003788,0.021709741,0.020753766,0.014474412,model,process,high,base,comput,applic,function,perform,design,field,0.438039246,"base(0.157), comput(0.153), high(0.152), applic(0.152), function(0.137), perform(0.136), design(0.132), process(0.129), field(0.118), model(0.113)",3.928004122
"T14: model, base, high",0.032094662,0.020210924,0.014656116,0.010288729,0.010077814,0.006758158,0.006537902,0.006429263,0.005910573,0.00561746,model,base,high,applic,process,perform,effici,state,comput,experiment,0.159643861,"base(0.072), high(0.062), model(0.054), process(0.053), applic(0.049), experiment(0.046), effici(0.041), state(0.040), perform(0.040), comput(0.038)",2.127534809
"T15: model, protocol, key",0.020414668,0.01076341,0.008441254,0.008223987,0.006612732,0.006390095,0.005901224,0.004171143,0.00348539,0.003193123,model,protocol,key,base,field,applic,secur,high,integr,effici,0.103377488,"base(0.039), applic(0.038), protocol(0.037), secur(0.037), field(0.034), key(0.034), model(0.030), high(0.026), effici(0.026), integr(0.022)",1.589588485
"T16: model, design, experiment",0.015523147,0.004491281,0.003979071,0.002419624,0.001820854,0.000859008,0.000651111,0.000631926,0.000371543,0.000324059,model,design,experiment,state,high,comput,applic,system,communic,perform,0.031507668,"model(0.020), experiment(0.014), design(0.013), state(0.009), high(0.008), comput(0.005), applic(0.004), system(0.004), perform(0.003), communic(0.002)",0.546006845
"T17: model, effici, applic",0.012555823,0.008216539,0.007439131,0.005352982,0.004561218,0.003132209,0.002586155,0.001629664,0.001247782,0.001037859,model,effici,applic,state,base,comput,low,design,distribut,key,0.061314441,"applic(0.030), effici(0.027), state(0.024), base(0.023), comput(0.019), low(0.016), model(0.014), design(0.010), key(0.008), distribut(0.008)",1.015108913
"T18: model, base, communic",0.026996162,0.003925404,0.003713589,0.003421556,0.003103733,0.002941228,0.002653072,0.001916803,0.001594327,0.001129805,model,base,communic,function,design,comput,applic,optic,integr,state,0.059152686,"model(0.043), comput(0.017), applic(0.017), design(0.015), function(0.014), communic(0.013), optic(0.012), base(0.011), integr(0.010), state(0.009)",0.934028991
"T19: secur, key, protocol",0.486186178,0.258633425,0.196034651,0.173692052,0.171778369,0.158954415,0.15057616,0.150208946,0.147580903,0.112987265,secur,key,protocol,base,function,cryptographi,design,communic,applic,effici,2.942529864,"secur(0.980), key(0.963), function(0.945), cryptographi(0.941), design(0.938), communic(0.938), applic(0.937), effici(0.919), base(0.872), protocol(0.868)",0.966149988
"T20: protocol, qkd, function",0.01182306,0.006693599,0.006564517,0.003089086,0.002688936,0.002536745,0.002179538,0.001206339,0.001186283,0.001051563,protocol,qkd,function,secur,high,photon,base,communic,distribut,requir,0.046856182,"function(0.026), qkd(0.022), photon(0.015), base(0.014), secur(0.013), high(0.013), protocol(0.012), requir(0.009), communic(0.008), distribut(0.008)",0.83300762
"T21: secur, cryptographi, protocol",0.241419115,0.141987483,0.133026569,0.123548421,0.104520392,0.090035031,0.086704713,0.076013031,0.061352768,0.054314521,secur,cryptographi,protocol,applic,base,key,communic,distribut,design,comput,1.647760483,"applic(0.620), protocol(0.588), base(0.574), communic(0.540), key(0.533), cryptographi(0.527), secur(0.480), distribut(0.474), comput(0.442), design(0.389)",4.857982989
"T22: key, secur, distribut",0.047664379,0.033857447,0.026890351,0.021646264,0.020982002,0.019047746,0.017144161,0.013796566,0.01293701,0.008872608,key,secur,distribut,optic,qkd,protocol,high,transmiss,rate,base,0.32177451,"secur(0.123), distribut(0.116), qkd(0.113), protocol(0.113), high(0.107), optic(0.106), transmiss(0.086), key(0.085), rate(0.082), base(0.072)",3.309511378
"T23: key, qkd, secur",0.069761328,0.040294778,0.039439861,0.025283415,0.024316652,0.022789467,0.014555948,0.01405273,0.013917948,0.011733659,key,qkd,secur,distribut,transmiss,optic,rate,protocol,high,communic,0.390013548,"secur(0.172), qkd(0.147), optic(0.135), transmiss(0.132), key(0.130), distribut(0.125), communic(0.095), rate(0.091), high(0.088), protocol(0.088)",3.630848959
"T24: key, secur, qkd",0.07695941,0.04629707,0.042780167,0.032311971,0.022173801,0.021386146,0.018708594,0.017056353,0.015016846,0.013095967,key,secur,qkd,distribut,low,rate,base,protocol,transmiss,high,0.431305607,"qkd(0.187), secur(0.170), distribut(0.160), key(0.145), rate(0.127), low(0.120), base(0.117), high(0.106), protocol(0.106), transmiss(0.095)",3.8304426
"T25: high, key, channel",0.009209513,0.007945511,0.006917539,0.006432058,0.006326511,0.005355085,0.004910541,0.004059688,0.003464874,0.003402864,high,key,channel,secur,distribut,transmiss,state,applic,base,cryptographi,0.085178467,"distribut(0.033), transmiss(0.032), state(0.031), secur(0.030), cryptographi(0.028), channel(0.027), key(0.026), applic(0.025), base(0.022), high(0.007)",1.351276068
"T26: protocol, transmiss, high",0.011126302,0.010941437,0.007925012,0.007712391,0.007274392,0.006305093,0.005007107,0.002651066,0.00236422,0.000980319,protocol,transmiss,high,communic,applic,secur,state,system,base,process,0.090506099,"applic(0.038), transmiss(0.037), secur(0.037), communic(0.036), high(0.032), state(0.031), system(0.017), base(0.015), protocol(0.011), process(0.008)",1.335468602
"T27: key, secur, transmiss",0.032342615,0.029145237,0.022392636,0.016913583,0.016097957,0.01446768,0.012803298,0.010535144,0.009740939,0.008962453,key,secur,transmiss,base,optic,protocol,qkd,distribut,high,low,0.254377695,"secur(0.105), transmiss(0.096), optic(0.087), protocol(0.086), base(0.082), qkd(0.080), low(0.073), distribut(0.066), high(0.062), key(0.054)",2.873277484
"T28: key, secur, optic",0.08304672,0.059008488,0.055571882,0.055557702,0.049047489,0.040638456,0.028080246,0.027222934,0.026680901,0.023134668,key,secur,optic,protocol,distribut,transmiss,high,base,qkd,channel,0.679211885,"protocol(0.277), distribut(0.268), optic(0.244), transmiss(0.241), secur(0.217), channel(0.188), high(0.175), base(0.170), qkd(0.169), key(0.158)",4.673029703
"T29: optic, high, communic",0.15187975,0.089256494,0.072152302,0.059367182,0.049247626,0.041968572,0.03357097,0.03342809,0.03217279,0.032005653,optic,high,communic,base,photon,channel,function,state,applic,effici,0.846768429,"high(0.330), communic(0.317), optic(0.298), base(0.296), photon(0.269), effici(0.260), channel(0.248), function(0.209), state(0.209), applic(0.204)",5.019718173
"T30: optic, photon, function",0.012230758,0.00562448,0.003638717,0.003081876,0.002567032,0.002007755,0.001624262,0.001499301,0.001412693,0.001106805,optic,photon,function,high,applic,effici,key,channel,model,integr,0.037937486,"photon(0.018), optic(0.013), high(0.013), function(0.013), applic(0.012), effici(0.012), key(0.010), channel(0.009), integr(0.009), model(0.009)",0.7490078
"T31: optic, high, function",0.13195219,0.068621434,0.0603987,0.060008839,0.046305301,0.044364009,0.031740277,0.027764547,0.022744887,0.022087192,optic,high,function,photon,communic,base,integr,channel,effici,key,0.738454287,"photon(0.299), function(0.265), base(0.263), optic(0.257), communic(0.253), high(0.253), integr(0.198), key(0.180), channel(0.173), effici(0.144)",4.790931829
"T32: qkd, key, protocol",0.260624279,0.220036051,0.215632646,0.189062709,0.149190444,0.121461038,0.117871181,0.096430999,0.078629273,0.071078554,qkd,key,protocol,photon,secur,distribut,entangl,optic,channel,rate,2.329936119,"protocol(0.956), photon(0.950), secur(0.820), key(0.818), entangl(0.734), distribut(0.719), optic(0.602), rate(0.578), qkd(0.520), channel(0.499)",3.163364089
"T33: qkd, key, distribut",0.206525284,0.141648905,0.127540403,0.104275507,0.103947245,0.091380793,0.068124485,0.065804758,0.065478064,0.064304868,qkd,key,distribut,protocol,photon,secur,optic,state,entangl,channel,1.564563154,"photon(0.571), distribut(0.564), secur(0.541), key(0.526), channel(0.523), protocol(0.522), optic(0.424), entangl(0.416), state(0.411), qkd(0.409)",4.97959781
"T34: qkd, key, protocol",0.119413555,0.112272731,0.090009964,0.072921163,0.067685037,0.065027857,0.057810879,0.048282986,0.038715725,0.037843385,qkd,key,protocol,optic,distribut,secur,photon,entangl,high,channel,1.085486841,"key(0.416), protocol(0.397), secur(0.385), distribut(0.371), optic(0.365), photon(0.360), channel(0.308), entangl(0.301), high(0.246), qkd(0.232)",5.208794092
"T35: channel, entangl, applic",0.019712626,0.013120666,0.002964885,0.002535302,0.000585796,0,0,0,0,0,channel,entangl,applic,protocol,communic,,,,,,0.055492562,"entangl(0.046), channel(0.028), protocol(0.010), applic(0.010), communic(0.001), , , , , ",0.489927674
"T36: entangl, qkd, photon",0.068335932,0.060258138,0.043230069,0.038528432,0.032097626,0.024213165,0.023192063,0.022339157,0.018191919,0.015648912,entangl,qkd,photon,protocol,state,distribut,optic,channel,secur,key,0.508446805,"qkd(0.222), protocol(0.191), photon(0.189), state(0.175), optic(0.144), distribut(0.143), channel(0.139), entangl(0.128), key(0.127), secur(0.115)",4.150163635
"T37: channel, qkd, photon",0.006720185,0.004556769,0.004201684,0.002766902,0.001699425,0.001631906,0.001593058,0.001243091,0.001207633,0.001112378,channel,qkd,photon,key,model,protocol,state,experiment,effici,distribut,0.031422884,"photon(0.015), qkd(0.014), key(0.011), state(0.010), protocol(0.010), distribut(0.009), experiment(0.008), effici(0.008), model(0.007), channel(0.002)",0.616552026
"T38: entangl, photon, qkd",0.092960277,0.051163096,0.042384304,0.032436376,0.025896425,0.021027569,0.017123955,0.010604468,0.009822124,0.009820036,entangl,photon,qkd,key,distribut,state,protocol,base,rate,optic,0.433702727,"photon(0.188), qkd(0.185), entangl(0.178), key(0.161), distribut(0.141), state(0.124), protocol(0.107), optic(0.080), base(0.066), rate(0.062)",3.686472294
"T39: qkd, protocol, photon",0.169265223,0.151101107,0.142030176,0.13159086,0.100030476,0.09679406,0.080893982,0.076996493,0.072406088,0.058310396,qkd,protocol,photon,entangl,distribut,key,state,secur,channel,optic,1.675343271,"entangl(0.660), photon(0.628), key(0.573), protocol(0.561), distribut(0.549), state(0.504), secur(0.481), optic(0.474), channel(0.459), qkd(0.333)",4.780585021
